libxshmfence 1.3-2
libxslt 1.1.34-5
libxss 1.2.3-3
libxt 1.2.0-2
libxtst 1.2.3-4
libxv 1.0.11-4
libxvmc 1.0.12-3
libxxf86vm 1.1.4-4
libyaml 0.2.5-1
libzip 1.6.1-2
licenses 20200427-1
lightdm 1:1.30.0-3
lightdm-gtk-greeter 1:2.0.7-2
linux 5.7.2.arch1-1
linux-api-headers 5.6.11-1
linux-firmware 20200519.8ba6fa6-1
linux-surface 5.7.2.arch1-1
linux-surface-headers 5.7.2.arch1-1
linux-surface-lts 4.19.128-1
linux-surface-lts-headers 4.19.128-1
lldb 10.0.0-2
llvm-libs 10.0.0-2
lm_sensors 3.6.0-2
lmdb 0.9.25-1
lsb-release 1.4-15
lsof 4.93.2-3
lua 5.3.5-3
lua52 5.2.4-5
luajit 2.0.5-3
lvm2 2.02.187-3
lxappearance 0.6.3-2
lxsession 1:0.5.5-1
lz4 1:1.9.2-2
lzo 2.10-3
m17n-db 1.8.0-3
m17n-lib 1.8.0-7
m4 1.4.18-3
mailcap 2.1.49-1
make 4.3-3
mallard-ducktype 1.0.2-4
man-db 2.9.2-1
man-pages 5.07-1
mbedtls 2.16.5-1
md4c 0.4.4-1
mdadm 4.1-2
mesa 20.1.1-1
metis 5.1.0.p8-1
mg 20180824-1
minizip 1:1.2.11-4
mkinitcpio 27-3
mkinitcpio-busybox 1.31.1-1
mobile-broadband-provider-info 20190618-2
mongodb-bin 4.2.7-1
mozc 2.23.2815.102-3
mpd 0.21.24-1
mpfr 4.0.2-2
mpg123 1.25.13-2
mpv 1:0.32.0-4
msgpack-c 3.3.0-1
mtdev 1.1.6-1
mujs 1.0.7-1
nano 4.9.3-1
ncdu 1.15.1-1
ncurses 6.2-1
ndctl 68-2
neovim 0.4.3-3
nerd-fonts-inconsolata 2.1.0-2
nerd-fonts-iosevka 2.1.0-1
netpbm 10.73.31-3
nettle 3.6-1
network-manager-applet 1.16.0-1
networkmanager 1.24.2-1
nftables 1:0.9.6-1
ninja 1.10.0-1
nm-connection-editor 1.16.0-1
node-gyp 6.1.0-1
nodejs 14.4.0-1
noto-fonts-emoji 20191016-6
npm 6.14.5-1
npth 1.6-2
nspr 4.25-1
nss 3.53-1
ntfs-3g 2017.3.23-4
ntp 4.2.8.p14-1
obs-studio 25.0.8-1
onboard 1.4.1-5
openal 1.20.1-2
openblas 0.3.9-1
opencore-amr 0.1.5-4
openexr 2.5.2-1
openjpeg2 2.3.1-2
openlibm 0.7.0-1
openmotif 2.3.8-2
openmpi 4.0.3-1
openoffice 4.1.7-1
openssh 8.3p1-1
openssl 1.1.1.g-2
openssl-1.0 1.0.2.u-1
opera-ffmpeg-codecs 81.0.4044.138-1
opus 1.3.1-2
orc 0.4.31-2
otf-fira-code 4-1
otf-ipafont 003.03-7
otf-nerd-fonts-fira-code 2.1.0-3
p11-kit 0.23.20-5
p7zip 16.02-6
pacman 5.2.1-6
pacman-contrib 1.3.0-2
pacman-mirrorlist 20200606-1
pacmatic 20150126-2
pam 1.3.1-2
pambase 20190105.1-2
pamix-git 1.6.r10.gea4ab3b.10.g2995c49-1
pango 1:1.44.7+11+g73b46b04-1
pangomm 2.42.1-2
parted 3.3-2
patch 2.7.6-8
pciutils 3.7.0-1
pcre 8.44-1
pcre2 10.35-1
perl 5.30.3-1
perl-clone 0.45-1
perl-encode-locale 1.05-6
perl-error 0.17029-1
perl-file-listing 6.04-7
perl-html-parser 3.72-9
perl-html-tagset 3.20-9
perl-http-cookies 6.08-2
perl-http-daemon 6.06-1
perl-http-date 6.05-2
perl-http-message 6.24-1
perl-http-negotiate 6.01-7
perl-io-html 1.001-6
perl-libwww 6.45-1
perl-locale-gettext 1.07-9
perl-lwp-mediatypes 6.02-7
perl-mailtools 2.21-3
perl-net-http 6.19-3
perl-timedate 2.33-1
perl-try-tiny 0.30-4
perl-uri 1.76-3
perl-www-robotrules 6.02-7
